L1,L2,C,R
2.692822e-09,1.206530e-09,2.345691e-12,5.000000e-01
4.774631e-09,4.940071e-10,1.030125e-12,5.000000e-01
5.000000e-09,3.176137e-10,7.856965e-13,5.000000e-01
4.997558e-09,4.320852e-10,8.001625e-13,5.000000e-01
5.000000e-09,5.107324e-10,1.157156e-12,5.000000e-01
5.000000e-09,1.527541e-10,8.602174e-13,5.000000e-01
5.000000e-09,5.002679e-10,5.865905e-13,5.000000e-01
4.380707e-09,2.000000e-09,2.350000e-12,5.000000e-01
5.000000e-09,1.541509e-09,2.350000e-12,5.000000e-01
5.000000e-09,4.899533e-10,8.446692e-13,5.000000e-01
3.936580e-09,4.879197e-10,8.918485e-13,5.000000e-01
2.992363e-09,4.841523e-10,7.700293e-13,5.000000e-01
4.215232e-09,5.307988e-10,1.449863e-12,5.000000e-01
4.714421e-09,4.621615e-10,9.210197e-13,5.000000e-01
5.000000e-09,3.711729e-10,9.171009e-13,5.000000e-01
5.000000e-09,1.874610e-10,8.015827e-13,5.000000e-01
5.000000e-09,3.470967e-10,7.072808e-13,5.000000e-01
4.319888e-09,3.559363e-10,6.861708e-13,5.000000e-01
3.364807e-09,6.934784e-10,1.439983e-12,5.000000e-01
5.000000e-09,1.674556e-10,1.103962e-12,5.000000e-01
4.966646e-09,3.793353e-10,1.022345e-12,5.000000e-01
5.000000e-09,3.095252e-10,6.899501e-13,5.000000e-01
4.978856e-09,4.066689e-10,6.405220e-13,5.000000e-01
1.709383e-09,1.997842e-09,4.781958e-13,5.000000e-01
5.000000e-09,1.373801e-09,2.350000e-12,5.000000e-01
5.000000e-09,1.303663e-10,9.003631e-13,5.000000e-01
3.223690e-09,6.429838e-10,1.203640e-12,5.000000e-01
5.000000e-09,1.726730e-10,6.670596e-13,5.000000e-01
5.000000e-09,2.607817e-10,9.002409e-13,5.000000e-01
5.000000e-09,4.369627e-10,9.053907e-13,5.000000e-01
5.000000e-09,6.690245e-10,7.907312e-13,5.000000e-01
4.999447e-09,4.259517e-10,7.948044e-13,5.000000e-01
3.953865e-09,5.776124e-10,7.459981e-13,5.000000e-01
4.509922e-09,5.224989e-10,9.792942e-13,5.000000e-01
4.551845e-09,5.869048e-10,7.624560e-13,5.000000e-01
5.000000e-09,4.958250e-10,6.608675e-13,5.000000e-01
5.000000e-09,4.804745e-10,8.225238e-13,5.000000e-01
5.000000e-09,1.100878e-09,2.348370e-12,5.000000e-01
4.098771e-09,4.213209e-10,1.109621e-12,5.000000e-01
5.000000e-09,1.598713e-10,2.200958e-12,5.000000e-01
5.000000e-09,5.671706e-10,7.238173e-13,5.000000e-01
5.000000e-09,3.527153e-10,8.925939e-13,5.000000e-01
5.000000e-09,1.002911e-10,7.763244e-13,5.000000e-01
5.000000e-09,3.730556e-10,7.202233e-13,5.000000e-01
3.685509e-09,3.711958e-10,7.551185e-13,5.000000e-01
5.000000e-09,2.208647e-10,8.532111e-13,5.000000e-01
5.000000e-09,3.521752e-10,8.393774e-13,5.000000e-01
2.179280e-09,5.202324e-10,1.166397e-12,5.000000e-01
5.000000e-09,5.101653e-10,8.706208e-13,5.000000e-01
3.485886e-09,1.999999e-09,2.229923e-12,5.000000e-01
4.998283e-09,5.253460e-10,8.318790e-13,5.000000e-01
5.000000e-09,1.489794e-10,7.968671e-13,5.000000e-01
5.000000e-09,4.635199e-10,1.085950e-12,5.000000e-01
2.809032e-09,6.105540e-10,8.751343e-13,5.000000e-01
3.219481e-09,8.862581e-10,1.429595e-12,5.000000e-01
3.712064e-09,5.781669e-10,1.006638e-12,5.000000e-01
5.000000e-09,1.695618e-09,2.350000e-12,5.000000e-01
5.000000e-09,3.865242e-10,8.998043e-13,5.000000e-01
5.000000e-09,1.066255e-10,9.090430e-13,5.000000e-01
3.765126e-09,2.400101e-10,1.420881e-12,5.000000e-01
4.541284e-09,3.837710e-10,7.308376e-13,5.000000e-01
4.802326e-09,4.866609e-10,9.270139e-13,5.000000e-01
5.000000e-09,1.019618e-09,2.011142e-12,5.000000e-01
4.805030e-09,4.755645e-10,8.993488e-13,5.000000e-01
4.340287e-09,5.297918e-10,9.249061e-13,5.000000e-01
4.057915e-09,5.032234e-10,9.734689e-13,5.000000e-01
3.682885e-09,2.000000e-09,2.350000e-12,5.000000e-01
4.930108e-09,1.072515e-10,1.649319e-12,5.000000e-01
5.000000e-09,1.695674e-10,9.022070e-13,5.000000e-01
5.000000e-09,1.250144e-10,1.800178e-12,5.000000e-01
3.744552e-09,4.248572e-10,1.240436e-12,5.000000e-01
4.491984e-09,5.013409e-10,7.841960e-13,5.000000e-01
4.494407e-09,5.034875e-10,8.849749e-13,5.000000e-01
5.000000e-09,4.910715e-10,8.013864e-13,5.000000e-01
5.000000e-09,1.171465e-10,8.611131e-13,5.000000e-01
5.000000e-09,3.883234e-10,8.091782e-13,5.000000e-01
5.000000e-09,4.567545e-10,7.195067e-13,5.000000e-01
3.155419e-09,6.521777e-10,7.669711e-13,5.000000e-01
5.000000e-09,3.148276e-10,1.132139e-12,5.000000e-01
4.154821e-09,2.013410e-10,1.609331e-12,5.000000e-01
4.595329e-09,4.988281e-10,1.017232e-12,5.000000e-01
5.000000e-09,1.856124e-10,1.027428e-12,5.000000e-01
5.000000e-09,4.186137e-10,7.587688e-13,5.000000e-01
3.880434e-09,5.290052e-10,1.415208e-12,5.000000e-01
4.324279e-09,5.421265e-10,6.453405e-13,5.000000e-01
5.000000e-09,3.475232e-10,7.665407e-13,5.000000e-01
2.819581e-09,6.348365e-10,1.561179e-12,5.000000e-01
5.000000e-09,4.350020e-10,8.523587e-13,5.000000e-01
5.000000e-09,4.485028e-10,8.210052e-13,5.000000e-01
5.000000e-09,2.634591e-10,9.293856e-13,5.000000e-01
3.566623e-09,5.793184e-10,1.514407e-12,5.000000e-01
5.000000e-09,3.043932e-10,8.865999e-13,5.000000e-01
5.000000e-09,4.289001e-10,1.007528e-12,5.000000e-01
3.415636e-09,4.976149e-10,1.520648e-12,5.000000e-01
4.996336e-09,1.274823e-09,2.270775e-12,5.000000e-01
5.000000e-09,3.143657e-10,7.718897e-13,5.000000e-01
3.205727e-09,8.461386e-10,5.904889e-13,5.000000e-01
5.000000e-09,3.676245e-10,9.385126e-13,5.000000e-01
3.184528e-09,6.581412e-10,8.913611e-13,5.000000e-01
3.448069e-09,6.670583e-10,4.700000e-13,5.000000e-01
5.000000e-09,1.108609e-10,6.980357e-13,5.000000e-01
3.370735e-09,5.834380e-10,1.368637e-12,5.000000e-01
5.000000e-09,3.857312e-10,7.140136e-13,5.000000e-01
